Date,Open,High,Low,Close,Adj Close,Volume
2022-03-07,217.679993,217.919998,211.220001,211.240005,206.236145,7953400
2022-03-08,211.070007,215.490005,209.279999,210.050003,205.074341,6132200
2022-03-09,214.669998,216.910004,213.570007,215.880005,210.766235,4558400
2022-03-10,213.770004,215.350006,212.300003,214.910004,209.819214,5271300
2022-03-11,216.320007,216.539993,211.699997,211.990005,206.968369,5511000
2022-03-14,212.279999,213.809998,209.270004,209.899994,204.927887,6284200
2022-03-15,211.000000,214.639999,210.500000,214.279999,209.204132,6491000
2022-03-16,216.360001,219.639999,213.990005,219.639999,214.437164,4863500
2022-03-17,218.529999,222.600006,218.279999,222.580002,217.307526,6570100
2022-03-18,221.990005,225.449997,221.429993,225.179993,219.845917,3425100
2022-03-21,225.440002,226.199997,223.070007,224.970001,219.640900,2802200
2022-03-22,225.779999,228.149994,225.600006,227.729996,222.335541,3269300
2022-03-23,225.729996,226.500000,223.929993,223.929993,219.307343,2695400
2022-03-24,225.009995,227.190002,224.330002,227.119995,222.431488,2375100
2022-03-25,227.570007,228.250000,225.899994,228.089996,223.381485,3851100
2022-03-28,228.029999,229.570007,226.479996,229.570007,224.830933,6799400
2022-03-29,231.419998,233.360001,230.449997,233.050003,228.239075,4470500
2022-03-30,232.389999,232.809998,230.029999,231.160004,226.388107,3436400
2022-03-31,230.679993,231.320007,227.610001,227.669998,222.970154,4087000
2022-04-01,228.660004,228.750000,226.630005,228.580002,223.861374,3456400
2022-04-04,228.860001,230.539993,228.380005,230.520004,225.761307,3241100
2022-04-05,229.889999,230.880005,226.580002,227.149994,222.460876,3268800
2022-04-06,225.029999,225.839996,222.940002,224.539993,219.904770,4122000
2022-04-07,224.199997,226.440002,222.639999,225.389999,220.737228,4347500
2022-04-08,224.979996,226.350006,223.910004,224.690002,220.051682,2954800
2022-04-11,223.169998,223.570007,221.000000,221.179993,216.614136,2942200
2022-04-12,222.860001,224.500000,219.740005,220.500000,215.948151,3164200
2022-04-13,220.509995,223.789993,220.270004,223.389999,218.778519,2404600
2022-04-14,223.580002,224.210007,220.610001,220.669998,216.114639,2465500
2022-04-18,220.410004,221.289993,219.149994,220.289993,215.742493,3674400
2022-04-19,220.229996,224.600006,220.229996,224.169998,219.542404,2631200
2022-04-20,225.000000,225.520004,223.399994,223.880005,219.258392,2933200
2022-04-21,225.699997,226.679993,219.699997,220.220001,215.673950,3172100
2022-04-22,219.729996,219.729996,214.020004,214.220001,209.797806,6361400
